day,regionP,time,onVolume,offVolume
4,0,12,3749,3904
4,0,13,3711,3872
4,0,14,3297,3293
4,0,15,2858,2956
4,0,16,2457,2805
4,0,17,3046,3440
4,0,18,3411,3881
4,0,19,3602,4089
4,0,20,3494,3843
4,0,21,3472,4017
4,0,22,3081,3762
4,0,23,2320,2218
4,1,0,2585,3061
4,1,1,2434,2402
4,1,2,2646,2638
4,1,3,1262,1215
4,1,4,1017,1060
4,1,5,2661,1966
4,1,6,1598,1900
4,1,7,1884,2334
4,1,8,2361,2678
4,1,9,2235,2572
4,1,10,2158,2441
4,1,11,2366,2443
4,1,12,2679,2849
4,1,13,2999,3105
4,1,14,3174,3142
4,1,15,3458,3415
4,1,16,3552,3640
4,1,17,3665,3488
4,1,18,3624,3436
4,1,19,3762,3532
4,1,20,3873,3587
4,1,21,3853,3371
4,1,22,3845,3405
4,1,23,3149,2337
4,2,0,1060,1224
4,2,1,999,897
4,2,2,755,717
4,2,3,464,393
4,2,4,337,308
4,2,5,490,830
4,2,6,498,771
4,2,7,792,1017
4,2,8,1069,1361
4,2,9,1122,1451
4,2,10,1342,1499
4,2,11,1498,1571
4,2,12,1472,1529
4,2,13,1438,1514
4,2,14,1324,1323
4,2,15,1462,1398
4,2,16,1518,1511
4,2,17,1682,1646
4,2,18,1895,1805
4,2,19,1878,1794
4,2,20,1958,1748
4,2,21,2181,1874
4,2,22,2200,1769
4,2,23,1814,1298
4,3,0,899,810
4,3,1,851,624
4,3,2,798,634
4,3,3,396,285
4,3,4,320,304
4,3,5,961,857
4,3,6,1328,796
4,3,7,1701,1135
4,3,8,1742,1486
4,3,9,1666,1521
4,3,10,1562,1532
4,3,11,1505,1447
4,3,12,1647,1447
4,3,13,1695,1556
4,3,14,1767,1524
4,3,15,1580,1414
4,3,16,1607,1483
4,3,17,1910,1835
4,3,18,1875,1790
4,3,19,1746,1746
4,3,20,1571,1594
4,3,21,1415,1379
4,3,22,1315,1287
4,3,23,1030,710
4,4,0,1085,1362
4,4,1,1076,1159
4,4,2,843,1000
4,4,3,505,632
4,4,4,320,509
4,4,5,542,854
4,4,6,618,793
4,4,7,897,1070
4,4,8,1131,1324
4,4,9,1340,1422
4,4,10,1443,1395
4,4,11,1497,1479
4,4,12,1458,1510
4,4,13,1461,1505
4,4,14,1376,1358
4,4,15,1300,1287
4,4,16,1275,1338
4,4,17,1405,1457
